platillo,tiempo,tipo,banda,sabor,mult_max,alimento,nombre_visible,gramos,max_g,rol,seccion,nota,image_filename
Huevo a la Mexicana,Desayuno,suelto,ligero,salado,,Huevo entero fresco,Huevo,88,300,principal,plato,,huevo-a-la-mexicana.jpg
Huevo a la Mexicana,Desayuno,suelto,ligero,salado,,Pan de caja,Pan de caja,27,81,principal,plato,,huevo-a-la-mexicana.jpg
Huevo a la Mexicana,Desayuno,suelto,ligero,salado,,Aguacate Hass,Aguacate,47,94,principal,acompañamiento,,huevo-a-la-mexicana.jpg
Huevo a la Mexicana,Desayuno,suelto,ligero,salado,,Verduras mixtas,"Verduras (jitomate, cebolla, chile)",60,,guarnicion,plato,PENDIENTE crear Verduras mixtas ~30kcal/100g,huevo-a-la-mexicana.jpg
Huevo a la Mexicana,Desayuno,suelto,ligero,salado,,Sal,Pizca de sal,1,,condimento,plato,cuenta cero - solo receta,huevo-a-la-mexicana.jpg
Omelette de Champiñones y Espinacas,Desayuno,suelto,medio,salado,,Huevo entero fresco,Huevo,132,300,principal,plato,,omelette-de-champinones-y-espinacas.jpg
Omelette de Champiñones y Espinacas,Desayuno,suelto,medio,salado,,Queso fresco de cabra,Queso fresco de cabra,30,160,principal,plato,,omelette-de-champinones-y-espinacas.jpg
Omelette de Champiñones y Espinacas,Desayuno,suelto,medio,salado,,Pan de caja,Pan de caja,27,81,principal,plato,,omelette-de-champinones-y-espinacas.jpg
Omelette de Champiñones y Espinacas,Desayuno,suelto,medio,salado,,Verduras mixtas,"Verduras (champiñón, espinaca)",80,,guarnicion,plato,PENDIENTE crear Verduras mixtas ~30kcal/100g,omelette-de-champinones-y-espinacas.jpg
Omelette de Champiñones y Espinacas,Desayuno,suelto,medio,salado,,Sal,Pizca de sal,1,,condimento,plato,cuenta cero - solo receta,omelette-de-champinones-y-espinacas.jpg
Toast de Aguacate y Requesón,Desayuno,suelto,ligero,neutral,,Pan de caja,Pan tostado,27,81,principal,plato,,toast-de-aguacate-y-requeson.jpg
Toast de Aguacate y Requesón,Desayuno,suelto,ligero,neutral,,Aguacate Hass,Aguacate,47,94,principal,acompañamiento,,toast-de-aguacate-y-requeson.jpg
Toast de Aguacate y Requesón,Desayuno,suelto,ligero,neutral,,Requesón promedio,Requesón,36,60,principal,plato,,toast-de-aguacate-y-requeson.jpg
Toast de Aguacate y Requesón,Desayuno,suelto,ligero,neutral,,Miel,Miel,7,7,fijo,plato,,toast-de-aguacate-y-requeson.jpg
Toast de Aguacate y Requesón,Desayuno,suelto,ligero,neutral,,Chile cayena en polvo,Chile cayena en polvo,1,,condimento,plato,PENDIENTE crear en catalogo (Libres en energia),toast-de-aguacate-y-requeson.jpg
Toast de Aguacate y Requesón,Desayuno,suelto,ligero,neutral,,Huevo entero fresco,Huevo,88,300,principal,acompañamiento,,toast-de-aguacate-y-requeson.jpg
Chilaquiles Verdes,Desayuno,suelto,medio,salado,,Tostada de maíz horneada,Totopos horneados,30,52,principal,plato,,chilaquiles-verdes.jpg
Chilaquiles Verdes,Desayuno,suelto,medio,salado,,Huevo entero fresco,Huevo,88,300,principal,plato,,chilaquiles-verdes.jpg
Chilaquiles Verdes,Desayuno,suelto,medio,salado,,Queso fresco,Queso fresco,30,60,principal,plato,,chilaquiles-verdes.jpg
Chilaquiles Verdes,Desayuno,suelto,medio,salado,,Aguacate Hass,Aguacate,31,94,principal,acompañamiento,,chilaquiles-verdes.jpg
Chilaquiles Verdes,Desayuno,suelto,medio,salado,,Salsa verde,Salsa verde,90,,sub-receta,plato,NO ESCALA - ver sub-receta Salsa verde,chilaquiles-verdes.jpg
Chilaquiles Verdes,Desayuno,suelto,medio,salado,,Sal,Pizca de sal,1,,condimento,plato,cuenta cero - solo receta,chilaquiles-verdes.jpg
Machaca con Huevo,Desayuno,suelto,denso,salado,,Machaca,Machaca de res,40,60,principal,plato,,machaca-con-huevo.jpg
Machaca con Huevo,Desayuno,suelto,denso,salado,,Huevo entero fresco,Huevo,88,300,principal,plato,,machaca-con-huevo.jpg
Machaca con Huevo,Desayuno,suelto,denso,salado,,Tortilla de maíz,Tortilla de maíz,60,180,principal,plato,,machaca-con-huevo.jpg
Machaca con Huevo,Desayuno,suelto,denso,salado,,Verduras mixtas,"Verduras (nopal, jitomate, cebolla, chile)",90,,guarnicion,plato,PENDIENTE crear Verduras mixtas,machaca-con-huevo.jpg
Machaca con Huevo,Desayuno,suelto,denso,salado,,Sal,Pizca de sal,1,,condimento,plato,,machaca-con-huevo.jpg
Machaca con Huevo,Desayuno,suelto,denso,salado,,Aguacate Hass,Aguacate,47,94,principal,acompañamiento,,machaca-con-huevo.jpg
Machaca con Huevo,Desayuno,suelto,denso,salado,,Naranja,Naranja,76,220,principal,acompañamiento,,machaca-con-huevo.jpg
Molletes con Huevo,Desayuno,suelto,denso,salado,,Pan de caja,Pan de caja,54,81,principal,plato,,molletes-con-huevo.jpg
Molletes con Huevo,Desayuno,suelto,denso,salado,,Frijol molido,Frijoles machacados,80,250,principal,plato,,molletes-con-huevo.jpg
Molletes con Huevo,Desayuno,suelto,denso,salado,,Huevo entero fresco,Huevo,88,300,principal,plato,,molletes-con-huevo.jpg
Molletes con Huevo,Desayuno,suelto,denso,salado,,Queso Oaxaca,Queso Oaxaca gratinado,30,60,principal,plato,,molletes-con-huevo.jpg
Molletes con Huevo,Desayuno,suelto,denso,salado,,Pico de gallo,Pico de gallo,60,,sub-receta,plato,NO ESCALA - ver sub-receta Pico de gallo,molletes-con-huevo.jpg
Molletes con Huevo,Desayuno,suelto,denso,salado,,Sal,Pizca de sal,1,,condimento,plato,,molletes-con-huevo.jpg
Molletes con Huevo,Desayuno,suelto,denso,salado,,Limón,Limón,1,,condimento,plato,,molletes-con-huevo.jpg
Avena con Manzana y Canela,Desayuno,bloque,medio,dulce,1.5,Avena cocida,Avena cocida,219,400,principal,plato,BLOQUE proporcion 1:1 con leche,avena-con-manzana-y-canela.jpg
Avena con Manzana y Canela,Desayuno,bloque,medio,dulce,1.5,Leche descremada,Leche,245,350,principal,plato,BLOQUE proporcion 1:1 con avena,avena-con-manzana-y-canela.jpg
Avena con Manzana y Canela,Desayuno,bloque,medio,dulce,1.5,Manzana,Manzana,106,220,principal,acompañamiento,,avena-con-manzana-y-canela.jpg
Avena con Manzana y Canela,Desayuno,bloque,medio,dulce,1.5,Nuez,Nueces,15,30,principal,acompañamiento,,avena-con-manzana-y-canela.jpg
Avena con Manzana y Canela,Desayuno,bloque,medio,dulce,1.5,Miel,Miel,7,7,fijo,acompañamiento,,avena-con-manzana-y-canela.jpg
Avena con Manzana y Canela,Desayuno,bloque,medio,dulce,1.5,Canela en polvo,Canela en polvo,2,,condimento,acompañamiento,,avena-con-manzana-y-canela.jpg
Avena con Manzana y Canela,Desayuno,bloque,medio,dulce,1.5,Huevo entero fresco,Huevo,88,300,principal,acompañamiento,,avena-con-manzana-y-canela.jpg
Bagel con Salmón Ahumado,Desayuno,suelto,medio,salado,,Bagel,Bagel,73,135,principal,plato,,bagel-con-salmon-ahumado.jpg
Bagel con Salmón Ahumado,Desayuno,suelto,medio,salado,,Salmón ahumado,Salmón ahumado,50,150,principal,plato,,bagel-con-salmon-ahumado.jpg
