alimento,grupo,equivalencia_casera,kcal_por_100g
Aitas de pollo enchiladas,AOA AAG,1 pieza = 18 g,239
Alitas de pollo,AOA AAG,1 pieza = 18 g,267
Alón de pollo con piel cocido,AOA AAG,1 pieza = 51 g,229
Alón de pollo con piel crudo,AOA AAG,1 pieza = 51 g,224
Añejo tipo Cotija,AOA AAG,1 cucharada = 12 g,292
Carne de res semigrasosa,AOA AAG,1 gramos = 1 g,258
Carne molida popular de res,AOA AAG,1 gramos = 1 g,294
Carne molida regular,AOA AAG,1 gramos = 1 g,268
Carne molida regular cocida,AOA AAG,1 gramos = 1 g,286
Carne obscura de Pollo con piel,AOA AAG,1 gramos = 1 g,238
Cecina de res,AOA AAG,1 gramos = 1 g,196
Cerdo en canal,AOA AAG,1 gramos = 1 g,396
Cheez Whiz,AOA AAG,1 cucharada = 16 g,276
Chuleta de carnero,AOA AAG,1 gramos = 1 g,292
Chuleta de cordero entera,AOA AAG,1 pieza = 136 g,209
Cordero,AOA AAG,1 gramos = 1 g,281
Costilla de carnero,AOA AAG,1 gramos = 1 g,292
Costilla de res,AOA AAG,1 gramos = 1 g,386
Espaldilla,AOA AAG,1 gramos = 1 g,275
Espaldilla de cerdo,AOA AAG,1 gramos = 1 g,275
Espinazo,AOA AAG,1 gramos = 1 g,275
Espinazo de cerdo,AOA AAG,1 gramos = 1 g,275
Fondue de queso,AOA AAG,1 cucharada = 13 g,226
Hamburguesa de pollo,AOA AAG,1 gramos = 1 g,293
Huevo de gansa,AOA AAG,1 pieza = 126 g,184
Huevo de pato,AOA AAG,1 pieza = 62 g,184
Huevo de pavo,AOA AAG,1 pieza = 70 g,170
Huevo estrellado,AOA AAG,1 pieza = 46 g,196
Huevo frito,AOA AAG,1 pieza = 46 g,196
Huevo revuelto,AOA AAG,1 gramos = 1 g,167
Jamón Virginia,AOA AAG,1 rebanada = 21 g,297
Jamón ahumado,AOA AAG,1 rebanada = 21 g,297
Jamón americano,AOA AAG,1 rebanada = 21 g,297
Jamón bajo en sodio,AOA AAG,1 rebanada = 18 g,304
Jamón cocido,AOA AAG,1 rebanada = 21 g,297
Jamón del diablo,AOA AAG,1 cucharada = 11 g,250
Jamón horneado,AOA AAG,1 rebanada = 21 g,297
Jumiles,AOA AAG,1 gramos = 1 g,445
Lengua de cerdo cocida,AOA AAG,1 gramos = 1 g,270
Lengua de res cocida,AOA AAG,1 gramos = 1 g,286
Maciza de cerdo,AOA AAG,1 gramos = 1 g,263
