food_id,medida_nombre,porcion_default,gramos_por_medida
acelga-cocida,taza,0.5,144.0
acelga-cruda,taza,2,49.0
alcachofa-mediana-cocida,pieza,1,48.0
alfalfa,taza,3.5,33.14
alga-nori,gramos,10,1.0
alga-para-sushi,taza,10,1.0
apio-cocido,taza,0.5,150.0
apio-crudo,taza,1,90.0
arugula-cruda,taza,4,20.0
berenjena-cocida,taza,1,99.0
berro-crudo,taza,2,28.0
betabel-crudo,pieza,0.25,156.0
betabel-crudo-rallado,taza,0.25,152.0
bledos-crudos,gramos,150,0.63
brocoli-cocido,taza,0.5,184.0
brocoli-crudo,taza,1,71.0
calabacita-alargada-cruda,pieza,1,91.0
calabacita-redonda-cruda,pieza,1,79.0
calabaza-de-castilla-cocida,taza,0.5,220.0
calabaza-zapallo-cocida,pieza,0.25,220.0
cebolla-blanca-rebanada,taza,0.5,116.0
cebolla-cocida,taza,0.25,212.0
cebolla-morada-rebanada,taza,0.5,116.0
cebollita-de-cambray-sin-raiz,pieza,3,24.0
cebollita-en-salmuera,taza,0.5,190.0
champinon-cocido-entero,taza,0.5,156.0
champinon-cocido-rebanado,taza,0.5,140.0
champinon-crudo-entero,taza,1,93.0
champinon-crudo-rebanado,taza,1.5,70.0
chaya,taza,3,49.0
chayote-cocido-picado,taza,0.5,160.0
chayote-crudo,pieza,0.5,200.0
chepil-crudo,taza,2,19.5
chicharo-cocido,taza,0.25,160.0
chicharo-crudo-con-vaina,taza,0.5,56.0
chicharos-en-vaina-cocido,taza,0.33,160.61
chicharos-y-zanahorias-congelados,taza,0.25,192.0
chicoria-cruda,taza,3,40.33
chilacas-crudas,pieza,3,25.33
chilacayote-crudo,pieza,1.5,90.0
chile-ancho,gramos,6,1.0
chile-chilaca,pieza,2,25.0
chile-chipotle-seco,pieza,2,4.0
chile-costeno,pieza,4,13.5
chile-cristalino,pieza,4,13.5
chile-cuaresmeno,pieza,2,25.0
chile-de-arbol-seco,pieza,4,1.75
chile-en-escabache,gramos,150,1.0
chile-guajillo,gramos,7,1.0
chile-habanero,pieza,5,13.4
chile-jalapeno,pieza,6,13.0
chile-morita,gramos,7,1.0
chile-mulato,gramos,8,1.0
chile-nacho-lata,gramos,92,1.0
chile-pasilla,gramos,7,1.0
chile-poblano,pieza,0.5,64.0
chile-serrano,gramos,56,1.0
chiles-en-vinagre,gramos,150,1.0
chiles-secos,pieza,1,7.0
cilantro-picado-crudo,taza,2,60.0
clavito-hongo-crudo,taza,1,71.0
col-cocida-picada,taza,0.5,150.0
col-cruda-picada,taza,2,56.0
col-morada-cruda-pciada,taza,1,56.0
colecita-de-brucelas-cocida,pieza,3,21.0
coliflor-cocida,taza,1,125.0
coliflor-cruda,taza,2,40.0
coliflor-verde-cocida,taza,0.5,136.0
coliflor-verde-cruda,taza,2,39.0
colinabo-crudo,pieza,0.5,124.0
corazon-de-alcachofa-crudo,pieza,1,25.0
corazon-de-lechuga-crudo,pieza,1,124.0
corazon-de-palmito-crudo,pieza,3,33.0
creson-cocido,taza,1,135.0
creson-limpio-crudo,taza,2,50.0
crucetras-crudas,taza,1,116.0
cuitlacoche-cocido,taza,0.33,200.0
echalot,pieza,1,34.0
edamame,taza,0.14,192.86
ejotes-cocidos-picados,taza,0.5,126.0
elotitos-de-cambray,pieza,8,8.0
endivia-cruda,taza,3,43.0
esparragos,pieza,6,15.0
espinaca-cocida,taza,0.5,180.0
espinaca-cruda,taza,2,60.0
flor-de-calabaza-cocida,taza,1,134.0
flor-de-calabaza-cruda,taza,4,33.0
flor-de-colorin-cocida,taza,0.5,80.0
flor-de-colorin-cruda,taza,1,40.0
flor-de-garambullo-cruda,taza,1.5,40.0
flor-de-maguey-cruda,taza,1.5,40.0
flor-de-yuca-cruda,taza,1.5,33.33
germen-de-alfalfa-crudo,taza,3,33.0
germen-de-lenteja-crudo,taza,0.25,76.0
germen-de-soya-cocido,taza,0.33,93.94
germinado-de-lenteja,taza,0.5,34.0
haba-verde,pieza,4,8.0
hoja-de-nori-alga,gramos,10,1.0
hojas-de-amaranto-cocidas,taza,0.5,180.0
hojas-de-amaranto-crudas,taza,1.5,60.0
hojas-de-chicoria-crudas,taza,2.5,47.2
hojas-de-diente-de-leon,taza,2,18.0
hojas-de-parra,gramos,23,1.0
hojas-de-pata-de-aploma,taza,0.25,84.0
hojas-de-remolacha-crudas,hojas,2,32.0
hohas-de-remolacha-hervidas,taza,0.5,144.0
hongo-portobello-crudo,pieza,1,81.0
hongo-shiitake-deshidratado,pieza,1,4.0
hongos-crudos,taza,1,63.0
huauzontle,taza,0.5,80.0
huitlacoche-cocido,taza,0.33,200.0
ibes-frescos,taza,0.25,68.0
jicama-picada,taza,0.5,120.0
jitomate,pieza,1,116.0
jitomate-bola,pieza,1,108.0
jitomate-cereza,pieza,4,23.75
jitomate-deshidratado,pieza,5,2.0
jitomate-guaje-o-sladet,pieza,2,62.0
jitomato-verde,pieza,1,123.0
jitomatillo-militomate,pieza,3,21.67
jugo-de-tomate,taza,0.5,244.0
jugo-de-verduras,taza,0.5,242.0
jugo-de-zanahorias,taza,0.25,236.0
kale,taza,0.66,69.7
lechuga,taza,3,45.0
lechuga-francesa,taza,2,70.0
lechuga-italiana,taza,2,70.0
lechuga-larga,taza,2,70.0
lechuga-orejona,taza,1.5,70.0
lechuga-romana,taza,2,70.0
lechuga-sangria,taza,2,70.0
lengua-de-vaca,gramos,110,0.9
lenteja-germinada-cocida,taza,0.25,76.0
malva,gramos,70,0.86
mezcla-de-verduras-congeladas-cocidas-sin-sal,taza,0.5,92.0
morillas-dshidratadas,gramos,10,1.0
morillas-frescas,gramos,100,0.85
nabo-cocido,gramos,150,0.66
nopal-cocido,taza,1,149.0
nopal-crudo,pieza,2,67.0
nopal-crudo-de-cambray,pieza,4,25.0
palmito-enlatado,pieza,1,33.0
papaloquelite-crudo,taza,2,54.0
papilla-de-verduras-miztas,frasco,0.33,130.3
pasta-de-tomate,cucharada,2,15.0
pepinillos-crudos,taza,0.33,242.42
pepinillos-dulces,cucharada,1,15.0
pepino-con-cascara-rebanado,taza,1,104.0
perejil-crudo-picado,taza,1,60.0
pimiento-amarillo-crudo-chico,pieza,1,64.0
pimiento-cocido,taza,0.5,136.0
pimiento-fresco,taza,1,60.0
pimiento-morron-lata-drenada,lata,1,150.0
pimiento-rojo-crudo-chico,pieza,1,64.0
pimiento-verde-crudo-chico,pieza,1,64.0
poro-crudo,taza,0.25,128.0
puerro-crudo,pieza,0.25,88.0
puerro-hervido-sin-sal,pieza,0.5,124.0
pure-de-jitomate,taza,0.33,221.21
pure-de-tomate-enlatado,taza,0.25,252.0
quelite-crudo,gramos,80,0.82
rabano-crudo-rebanado,taza,1,104.0
romeritos-crudos,gramos,120,0.6
salsa-de-chile,taza,0.5,230.0
salsifi,gramos,35,0.66
semilla-de-guaje-verde,gramos,65,0.45
setas-cocidas,taza,0.5,156.0
setas-crudas,gramos,100,0.85
tomate-verde,pieza,5,17.2
tomalitos-tomiles,gramos,75,0.87
trigo-germinado,taza,0.14,71.43
verdolaga-cocida,taza,1,115.0
verdolaga-cruda-limpia,taza,2,96.0
verdura-mezcla-congelada-cocida-sin-sal,taza,0.5,92.0
verduras-de-lata,taza,0.28,200.0
xoconostle,pieza,3,23.67
yemitas-hongo-crudas,taza,2,80.0
yerbamora-cruda,gramos,50,0.82
zanahoria-baby-miniatura-cruda,pieza,4,15.0
zanahoria-picada-cruda,taza,0.5,128.0
zanahoria-rallada-cruda,taza,0.5,110.0
acai,cucharada,4,6.0
agua-de-coco,taza,1.5,240.0
albaricoque-en-almibar,taza,0.25,260.0
albaricoque-en-mitades-enlatados-en-jugo,taza,0.5,24.0
albaricoque-en-mitades-enlatados-en-agua,taza,1,227.0
anona,gramos,130,0.45
arandano-fresco,taza,1.5,98.0
arandano-seco-con-azucar,taza,0.5,10.0
blueberries,taza,0.75,142.67
blueberries-congeladas,taza,0.75,154.67
blueberries-congeladas-con-azucar,taza,0.25,232.0
blueberries-en-almibar,taza,0.25,256.0
breba,pieza,5,38.4
caimito-blanco-o-morado,pieza,1,130.0
calabaza-melon,gramos,130,0.75
cana-de-azucar,gramos,250,0.4
capulin,taza,3,32.0
carambolo-o-carambola,pieza,0.5,342.0
cereza,pieza,20,4.4
cereza-congeladas,taza,1,155.0
cerezas-en-almibar,taza,0.25,256.0
cerezas-maraschino-enlatadas,pieza,4,5.0
chabacano,pieza,4,31.5
chagua,gramos,150,1.0
cherimoya-picada,taza,0.5,156.0
chicozapote,pieza,0.5,150.0
chirimoya,pieza,0.33,169.7
ciricote,gramos,300,0.3
ciruela-criolla-roja-o-amarilla,pieza,3,52.67
ciruela-negra,pieza,0.5,132.0
ciruela-pasa-deshuesada,pieza,7,8.0
cocktail-de-frutas-en-almibar,taza,0.25,248.0
cocktail-de-frutas-enlatado-con-agua,taza,0.5,238.0
cocktail-de-frutas-enlatado-con-jugo-de-fruta,taza,0.5,89610.0
cocoyol,gramos,170,0.25
coloc,gramos,60,1.0
cundeamor,gramos,450,1.0
datil-seco,pieza,2,8.5
durazno-amarillo,pieza,2,76.5
durazno-con-azucar-congelado,taza,0.25,252.0
durazno-en-almibar,taza,0.5,252.0
durazno-enlatado-en-agua,taza,1,244.0
durazno-enlatado-en-jugo,taza,0.5,250.0
durazno-prisco,pieza,3,44.0
frambuesa,taza,1,123.0
fresa-entera,pieza,17,12.0
fresa-rebanada,taza,1,166.0
fresas-congeladas-con-azucar,taza,0.25,256.0
fresas-congeladas-sin-azucar,taza,0.5,222.0
fruta-de-la-pasion,pieza,3,19.33
fruta-picada,taza,1,140.0
fruto-del-pan,gramos,85,0.87
gajos-de-mandarina,taza,1,105.0
gajos-de-naranja,taza,1,150.0
gajos-de-toronja,taza,1,150.0
giotilla,gramos,200,0.65
goji-berries-deshidratadas,cucharada,3,6.0
granada-china,pieza,2,33.5
granada-roja,pieza,1,87.0
grosellas,taza,1,150.0
grosellas-en-almibar,taza,0.25,252.0
grosellas-negras,taza,1,112.0
grosellas-rojas-o-blancas,taza,1,112.0
guamuchil,gramos,60,1.0
guanabana,pieza,1,238.0
guanabana-cimarrona,pieza,1,238.0
guayaba,pieza,3,41.33
guayaba-rosa,pieza,1,77.0
guayabas-en-almibar,pieza,1,45.0
higo,pieza,2,36.0
higo-deshidratado,pieza,1,19.0
jinicuil,gramos,250,0.2
