id,grupo,alimento,cantidad,unidad,peso_bruto_g,peso_neto_g,kcal,prot_g,lip_g,hc_g,agsat_g,agmono_g,agpoli_g,colest_mg,azucar_g,fibra_g,vita_ug,ac_ascorbico_mg,ac_folico_ug,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,ig,cg
acelga-cocida,Verduras,Acelga cocida,0.5,taza,72,72,19,1.9,0.1,3.9,0,0,0,0,64,2.1,275.8,17.9,10.1,82.5,1.4,654.5,173.5,29.5,0,3,
acelga-cruda,Verduras,Acelga cruda,2,taza,120,98,22,2.2,0.1,4.3,0,0,0,0,64,3.6,310.9,29.5,14.8,115.1,2.5,749.8,222.4,40.3,0,3,
alcachofa-mediana-cocida,Verduras,Alcachofa mediana cocida,1,pieza,120,48,25,1.4,0.2,5.7,0,0,0,0,,4.1,0.5,3.6,42.7,10.1,0.3,137.3,28.8,35,0,,
alfalfa,Verduras,Alfalfa,3.5,taza,116,116,27,4.6,0.8,2.4,0.1,0.1,0.5,0,0.2,0.2,9.2,9.5,,37,1.1,,6.9,,0,,
alga-nori,Verduras,Alga Nori,10,gramos,10,10,20,4,0,4,0,0,0,0,0,4,0,12,,40,0.7,,12,,0,,
alga-para-sushi,Verduras,Alga para sushi,10,taza,10,10,20,4,0,4,0,0,0,0,0,4,0,12,,40,0.7,,12,,0,,
apio-cocido,Verduras,Apio cocido,0.5,taza,75,75,14,0.6,0.1,3,0,0,0.1,0,,1.2,19.5,4.6,16.5,31.5,0.3,213,68.3,18.8,0,,
apio-crudo,Verduras,Apio crudo,1,taza,101,90,14,0.6,0.2,2.7,0,0,0.1,0,,2.5,19.8,2.8,32.4,36,0.2,233.7,71.9,21.6,0,,
arugula-cruda,Verduras,"Arúgula, cruda",4,taza,80,80,120,2.1,0.5,2.9,0,0,0,0,,3.5,95.2,12,77.6,129.6,1.2,295.2,21.6,41.6,0,,
berenjena-cocida,Verduras,Berenjena cocida,1,taza,99,99,35,0.8,0.2,8.6,0,0,0,0,,2.5,2,1.3,13.9,6.2,0.4,245.4,2.1,22.7,0,,
berro-crudo,Verduras,Berro crudo,2,taza,68,56,34,1.3,0.1,0.7,0,0,0,0,,0.3,46.3,6.7,35.7,32.9,1.2,100.4,11.2,19.5,0,,
betabel-crudo,Verduras,Betabel crudo,0.25,pieza,43,39,19,0.8,0.1,4.3,0,0,0,0,,0.3,0.8,7.8,36.4,8.2,0.6,131,23.5,7.4,0,,
betabel-crudo-rallado,Verduras,Betabel crudo rallado,0.25,taza,38,38,18,0.8,0.1,4.1,0,0,0,0,,0.3,0.8,7.5,34.9,7.9,0.6,125.6,22.5,7.1,0,,
bledos-crudos,Verduras,Bledos crudos,150,gramos,150,95,27,2.4,0.3,3.8,0.1,0.1,0.1,0,,0.9,189.5,40.6,80.3,203.2,4.1,577.4,18.9,47.3,0,,
brocoli-cocido,Verduras,Brócoli cocido,0.5,taza,92,92,26,2.7,0.4,4.6,0,0,0.1,0,,2.7,127.4,68.4,46,42.5,0.8,268.9,23.6,54.3,0,,
brocoli-crudo,Verduras,Brócoli crudo,1,taza,88,71,19,2.1,0.3,3.7,0,0,0.2,0,,2.1,110.2,66.4,50.2,34,0.6,231.7,19.4,47,0,,
calabacita-alargada-cruda,Verduras,Calabacita alargada cruda,1,pieza,11,91,21,1.6,0.1,3.4,0,0,0,0,,1.4,12.3,11.8,23.7,22.8,0.5,183.9,0.9,,0,,
calabacita-redonda-cruda,Verduras,Calabacita redonda cruda,1,pieza,100,79,18,1.4,0.1,2.9,0,0,0,0,,1.2,10.7,10.3,20.5,19.8,0.4,159.6,0.8,,0,,
calabaza-de-castilla-cocida,Verduras,Calabaza de castilla cocida,0.5,taza,110,110,22,0.8,0.1,5.4,0.1,0,0,0,,1.2,275,5.2,9.9,16.5,0.6,253,1.1,33,0,,
calabaza-zapallo-cocida,Verduras,Calabaza zapallo cocida,0.25,pieza,55,55,22,0.5,0,5.8,0,0,0,0,1.1,1.8,306.9,8.3,,22.6,0.3,,2.2,,0,,
cebolla-blanca-rebanada,Verduras,Cebolla blanca rebanada,0.5,taza,58,58,23,0.6,0.1,5.4,0,0,0,0,,1,0,4.3,10.9,13.2,0.1,84,2.3,16.7,0,,
cebolla-cocida,Verduras,Cebolla cocida,0.25,taza,53,53,23,0.7,0.1,5.3,0,0,0,0,,0.7,0,2.7,7.9,11.5,0.1,87,1.5,18.5,0,,
cebolla-morada-rebanada,Verduras,Cebolla morada rebanada,0.5,taza,58,58,20,0.5,0.1,4.4,0,0,0,0,,0.7,0,6.3,,19,0.8,90.3,5.8,23,0,,
cebollita-de-cambray-sin-raiz,Verduras,Cebollita de cambray sin raíz,3,pieza,75,72,23,1.3,0.1,5.3,0,0,0.1,0,,1.9,36,13.5,46.1,51.8,1.1,198.7,11.5,26.6,0,,
cebollita-en-salmuera,Verduras,Cebollita en salmuera,0.5,taza,95,95,24,0.9,0.2,6.7,0,0,0,0,,1.6,0,0,0,44.5,0,0,191.6,0,0,,
champinon-cocido-entero,Verduras,Champiñón cocido entero,0.5,taza,78,78,20,2.8,0.3,3.2,0,0,0.1,0,,1.4,0,0,15.6,3.1,0.2,308.9,9.4,81.9,0,,
champinon-cocido-rebanado,Verduras,Champiñón cocido rebanado,0.5,taza,70,70,18,2.5,0.2,2.8,0,0,0.1,0,,1.3,0,0,14,2.8,0.2,277.2,8.4,73.5,0,,
champinon-crudo-entero,Verduras,Champiñón crudo entero,1,taza,96,93,20,2.9,0.3,3.1,0.1,0,0.2,0,,0.9,0,2,14.9,2.8,0.5,296.1,4.7,80.1,0,,
champinon-crudo-rebanado,Verduras,Champiñón crudo rebanado,1.5,taza,105,105,23,3.2,0.4,3.4,0.1,0,0.2,0,,1.1,0,2.2,16.8,3.2,0.5,333.9,5.3,90.3,0,,
chaya,Verduras,Chaya,3,taza,147,147,47,4.4,1.5,7.4,0,0,0,0,0,0,693.8,142.6,0,172,1.5,,,,0,,
chayote-cocido-picado,Verduras,Chayote cocido picado,0.5,taza,80,80,19,0.5,0.4,4.1,0.1,0,0,0,,2.2,1.6,6.4,14.4,10.4,0.2,138.4,0.8,23.2,0,,
chayote-crudo,Verduras,Chayote crudo,0.5,pieza,102,100,19,0.8,0.1,4.5,0,0,0.1,0,,1.7,0,7.7,93.5,17.1,0.3,125.6,2,18.1,0,,
chepil-crudo,Verduras,Chepil crudo,2,taza,68,39,25,2.7,0.2,3,0,0,0,0,,0.9,131.5,19.7,,145.1,1.9,,,284,0,,
chicharo-cocido,Verduras,Chícharo cocido,0.25,taza,40,40,34,2.1,0.1,6.1,0,0,0,0,48,2.2,16,5.7,25.2,10.8,0.6,108.4,1.2,46.8,0,3,
chicharo-crudo-con-vaina,Verduras,Chícharo crudo con vaina,0.5,taza,73,28,22,1.5,0.1,4,0,0,0,0,48,1.4,10.5,11,17.9,6.9,0.4,67.2,1.4,29.8,0,2,
chicharos-en-vaina-cocido,Verduras,Chícharos en vaina cocido,0.33,taza,53,53,21,1.7,0.1,3.4,0,0,0.1,0,48,1.5,27.7,25.5,15.5,22.4,1.1,128,2.1,29.3,0,2,
chicharos-y-zanahorias-congelados,Verduras,Chícharos y zanahorias congelados,0.25,taza,48,48,25,1.6,0.2,5.3,0,0,0.1,0,0,1.6,225.6,5.3,,12.8,0.5,,37.5,,0,,
chicoria-cruda,Verduras,Chicoria cruda,3,taza,141,121,24,1.5,0.2,4.1,0.1,0,0.1,0,,1.1,124.3,8.5,172.2,63.1,1,380.8,26.7,34,0,,
